5,815,Form Time,1,501,900
5,900,English,2,R3,1000
5,1000,Recess ,3,Front Playground,1030
5,1030,Maths,4,M1,1130
5,1130,Latin,5,B3,1230
5,1230,Lunch ,6,Dining Hall,1300
5,1300,Play,7,Front Playground,1330
5,1330,Sport,8,Offsite,1400
5,1400,Geography,9,G1,1500
5,1500,Science,10,Lab 1,1600
5,1600,Tutor Dismissal ,11,501,1620
6,815,Form Time,1,601,900
6,900,English,2,R4,1000
6,1000,Recess ,3,Back Playground,1030
6,1030,Maths,4,M1,1130
6,1130,Geography,5,G1,1230
6,1230,Lunch ,6,Dining Hall,1300
6,1300,Play,7,Back Playground,1330
6,1330,Science,8,Lab 2,1400
6,1400,History,9,H1,1500
6,1500,Sport,10,Offsite,1600
6,1600,Tutor Dismissal ,11,601,1620
7,815,Form Time,1,701,900
7,900,Maths,2,M1,1000
7,1000,English,3,R4,1030
7,1030,Recess,4,Front Playground,1130
7,1130,DT,5,B4,1230
7,1230,Play,6,Front Playground,1300
7,1300,Lunch ,7,Dining Hall,1330
7,1330,Latin,8,B3,1400
7,1400,History,9,H2,1500
7,1500,Sport,10,Offsite,1600
7,1600,Tutor Dismissal ,11,701,1620
8,815,Form Time,1,801,900
8,900,Maths,2,M1,1000
8,1000,English,3,R3,1030
8,1030,Recess,4,Back Playground,1130
8,1130,Sport,5,Offsite,1230
8,1230,Play ,6,Back Playground,1300
8,1300,Lunch ,7,Dining Hall,1330
8,1330,PSHE,8,M2,1400
8,1400,DT,9,B4,1500
8,1500,Geography,10,H2,1600
8,1600,Tutor Dismissal ,11,801,1620
